Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,NameASCII,PlayerId,MLBAMID
"Carlos Contreras","CIN",28,0.20740741,0.69294606,0.43639922,0.5,0.83832335,0.75336323,0.47162427,22.85301837,"Carlos Contreras",10386,542266
"Matt Moore","TBR",63,0.28514056,0.65647482,0.48102467,0.59859155,0.87123288,0.79487179,0.52751423,22.84734799,"Matt Moore",1890,519043
"Arodys Vizcaíno","ATL",33.2,0.28346457,0.65986395,0.48540146,0.51388889,0.84536082,0.7556391,0.53649635,22.839599,"Arodys Vizcaino",5498,527055
"Lance McCullers Jr.","HOU",125.2,0.25415445,0.6105948,0.4368747,0.50769231,0.88280061,0.77644493,0.51262506,22.83829237,"Lance McCullers Jr.",14120,621121
"Keyvius Sampson","CIN",52.1,0.23018868,0.65692008,0.4400767,0.60655738,0.87240356,0.80174292,0.49185043,22.83178808,"Keyvius Sampson",10039,572102
"Logan Verrett","- - -",47.2,0.35632184,0.64688427,0.49927007,0.62096774,0.83944954,0.76023392,0.4919708,22.81287726,"Logan Verrett",12905,548337
"Patrick Corbin","ARI",85,0.35166667,0.64373089,0.50398724,0.56872038,0.89548694,0.78639241,0.5215311,22.80615735,"Patrick Corbin",9323,571578
"Samuel Deduno","HOU",21,0.24848485,0.58910891,0.4359673,0.53658537,0.8907563,0.8,0.55040872,22.79925651,"Samuel Deduno",5285,465679
"Adam Wainwright","STL",28,0.27380952,0.67906977,0.50130548,0.65217391,0.89726027,0.83854167,0.5613577,22.78867925,"Adam Wainwright",2233,425794
"Marco Estrada","TOR",181,0.27135678,0.69815059,0.49363605,0.73015873,0.82592242,0.80069686,0.52081183,22.78059072,"Marco Estrada",1118,462136
"Tyler Thornburg","MIL",34.1,0.27884615,0.65653495,0.47269891,0.65517241,0.86574074,0.80528053,0.51326053,22.75681342,"Tyler Thornburg",10688,592804
"Mike Wright Jr.","BAL",44.2,0.26342711,0.67885117,0.46899225,0.7184466,0.89230769,0.84297521,0.49483204,22.72407733,"Mike Wright Jr.",12586,605541
"Kris Medlen","KCR",58.1,0.31236897,0.59777778,0.45091694,0.6442953,0.89962825,0.80861244,0.48543689,22.7123696,"Kris Medlen",9417,450665
"Stephen Strasburg","WSN",127.1,0.29545455,0.61593554,0.47084762,0.54212454,0.8502907,0.76274714,0.54728074,22.66804979,"Stephen Strasburg",10131,544931
"Elvis Araujo","PHI",34.2,0.29152542,0.65930599,0.48202614,0.53488372,0.84688995,0.7559322,0.51797386,22.66299559,"Elvis Araujo",12854,542587
"Odrisamer Despaigne","SDP",125.2,0.22072539,0.63669065,0.44342802,0.71830986,0.91525424,0.86970684,0.53538758,22.65073041,"Odrisamer Despaigne",16017,628333
"Drew Hutchison","TOR",150.1,0.30185634,0.65481833,0.48023952,0.67914439,0.85404101,0.7996675,0.50538922,22.6491913,"Drew Hutchison",10732,571800
